ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_category,sales_category,sales_per_order
Standard Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Paper,12.48,2,0.0,5.616,Profit,Low,12.48
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,102.336,4,0.2,-12.792,Loss,Low,102.336
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592,Loss,Low,48.792
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,44.848,8,0.8,-67.272,Loss,Low,44.848
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,Profit,Low,10.368
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,388.43,5,0.3,-88.784,Loss,Low,388.43
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,14.352,3,0.2,5.2026,Profit,Low,14.352
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,63.992,1,0.2,-7.1991,Loss,Low,63.992
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Art,86.352,3,0.2,5.397,Profit,Low,86.352
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,32.97,3,0.0,12.8583,Profit,Low,32.97
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,83.88,4,0.0,30.1968,Profit,Low,83.88
First Class,Consumer,United States,Cedar Rapids,Iowa,52402,Central,Technology,Phones,278.4,3,0.0,80.736,Profit,Low,278.4
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,15.12,3,0.2,4.914,Profit,Low,15.12
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,17.43,1,0.7,-13.363,Loss,Low,17.43
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,251.64,3,0.2,88.074,Profit,Low,251.64
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Binders,2.772,7,0.8,-4.851,Loss,Low,2.772
Standard Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,14.9,5,0.0,1.043,Profit,Low,14.9
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,15.48,3,0.0,4.4892,Profit,Low,15.48
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Furnishings,39.88,2,0.0,11.1664,Profit,Low,39.88
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,12.192,4,0.2,4.1148,Profit,Low,12.192
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,20.82,3,0.0,7.4952,Profit,Low,20.82
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,13.216,4,0.2,4.4604,Profit,Low,13.216
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,32.4,5,0.0,15.552,Profit,Low,32.4
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Supplies,32.94,3,0.0,9.2232,Profit,Low,32.94
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Paper,114.2,5,0.0,52.532,Profit,Low,114.2
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Labels,3.08,1,0.0,1.4784,Profit,Low,3.08
Standard Class,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Appliances,845.728,13,0.2,84.5728,Profit,High,845.728
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,13.904,2,0.2,4.5188,Profit,Low,13.904
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,20.72,2,0.2,6.475,Profit,Low,20.72
Second Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Technology,Phones,114.95,5,0.0,2.299,Profit,Low,114.95
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,26.96,2,0.0,7.0096,Profit,Low,26.96
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,572.76,6,0.0,166.1004,Profit,High,572.76
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,286.38,3,0.0,83.0502,Profit,Low,286.38
Second Class,Home Office,United States,Arlington,Virginia,22204,South,Furniture,Bookcases,61.96,2,0.0,4.3372,Profit,Low,61.96
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,23.99,1,0.0,5.5177,Profit,Low,23.99
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Phones,287.97,3,0.0,77.7519,Profit,Low,287.97
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Phones,419.944,7,0.2,52.493,Profit,Low,419.944
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Paper,46.76,7,0.0,22.4448,Profit,Low,46.76
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Binders,17.712,3,0.2,6.4206,Profit,Low,17.712
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Appliances,21.78,2,0.0,5.6628,Profit,Low,21.78
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,161.94,3,0.0,9.7164,Profit,Low,161.94
First Class,Consumer,United States,Pasadena,California,91104,West,Furniture,Chairs,161.568,2,0.2,-8.0784,Loss,Low,161.568
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,3.69,1,0.0,1.7343,Profit,Low,3.69
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,122.12,4,0.0,56.1752,Profit,Low,122.12
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,155.372,2,0.3,-13.3176,Loss,Low,155.372
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,38.88,6,0.0,18.6624,Profit,Low,38.88
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Furniture,Furnishings,183.84,8,0.0,62.5056,Profit,Low,183.84
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Supplies,579.3,5,0.0,28.965,Profit,High,579.3
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,14.2,1,0.2,3.3725,Profit,Low,14.2
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Technology,Phones,575.92,2,0.2,71.99,Profit,High,575.92
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Office Supplies,Binders,5.184,6,0.7,-3.6288,Loss,Low,5.184
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Binders,5.229,3,0.7,-4.1832,Loss,Low,5.229
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Storage,285.552,2,0.2,35.694,Profit,Low,285.552
Standard Class,Consumer,United States,Murray,Kentucky,42071,South,Office Supplies,Appliances,72.8,5,0.0,19.656,Profit,Low,72.8
First Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Paper,10.816,4,0.2,3.5152,Profit,Low,10.816
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,46.26,3,0.0,12.4902,Profit,Low,46.26
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,17.46,6,0.8,-30.555,Loss,Low,17.46
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,51.072,6,0.2,5.1072,Profit,Low,51.072
First Class,Corporate,United States,Norwich,Connecticut,6360,East,Office Supplies,Paper,11.34,1,0.0,5.5566,Profit,Low,11.34
Second Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,87.92,4,0.0,26.376,Profit,Low,87.92
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,37.05,3,0.0,16.302,Profit,Low,37.05
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Technology,Phones,2.97,1,0.4,-0.6435,Loss,Low,2.97
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Storage,27.44,2,0.2,2.401,Profit,Low,27.44
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.08,3,0.8,-1.728,Loss,Low,1.08
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93,Loss,Low,7.96
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Binders,140.736,8,0.2,52.776,Profit,Low,140.736
Standard Class,Consumer,United States,Middletown,Connecticut,6457,East,Office Supplies,Storage,552.56,4,0.0,0.0,Profit,High,552.56
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Furnishings,25.11,3,0.0,6.5286,Profit,Low,25.11
Second Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,29.78,2,0.0,8.0406,Profit,Low,29.78
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,677.58,3,0.0,176.1708,Profit,High,677.58
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,75.04,8,0.0,36.0192,Profit,Low,75.04
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Technology,Machines,695.7,2,0.5,-27.828,Loss,High,695.7
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,15.66,5,0.7,-12.528,Loss,Low,15.66
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,28.854,6,0.7,-21.1596,Loss,Low,28.854
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Art,47.82,3,0.0,14.346,Profit,Low,47.82
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Labels,13.05,5,0.0,6.003,Profit,Low,13.05
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,93.78,2,0.0,36.5742,Profit,Low,93.78
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.18,7,0.0,23.59,Profit,Low,47.18
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,19.68,6,0.0,5.7072,Profit,Low,19.68
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,53.4,10,0.0,25.098,Profit,Low,53.4
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,35.88,6,0.0,17.2224,Profit,Low,35.88
Second Class,Consumer,United States,Evanston,Illinois,60201,Central,Furniture,Chairs,258.279,3,0.3,-70.1043,Loss,Low,258.279
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,31.4,2,0.0,7.85,Profit,Low,31.4
Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Phones,183.96,5,0.2,20.6955,Profit,Low,183.96
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,17.61,3,0.0,8.4528,Profit,Low,17.61
Standard Class,Corporate,United States,San Francisco,California,94109,West,Furniture,Tables,300.904,1,0.2,11.2839,Profit,Low,300.904
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,220.776,3,0.2,-44.1552,Loss,Low,220.776
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,281.424,11,0.2,-35.178,Loss,Low,281.424
First Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Paper,79.14,3,0.0,36.4044,Profit,Low,79.14
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,1.988,1,0.6,-1.4413,Loss,Low,1.988
Second Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,145.568,2,0.2,0.0,Profit,Low,145.568
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,123.256,7,0.2,9.2442,Profit,Low,123.256
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,23.68,4,0.2,7.4,Profit,Low,23.68
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,309.576,4,0.4,-56.7556,Loss,Low,309.576
First Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Binders,38.388,14,0.7,-25.592,Loss,Low,38.388
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Machines,95.994,2,0.7,-63.996,Loss,Low,95.994
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Accessories,239.952,6,0.2,-35.9928,Loss,Low,239.952
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Phones,201.584,2,0.2,15.1188,Profit,Low,201.584
First Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs,899.136,4,0.2,-146.1096,Loss,High,899.136
First Class,Home Office,United States,Pico Rivera,California,90660,West,Furniture,Furnishings,145.9,5,0.0,62.737,Profit,Low,145.9
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,590.058,7,0.7,-786.744,Loss,High,590.058
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,14.04,3,0.2,1.5795,Profit,Low,14.04
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Technology,Accessories,49.08,3,0.0,4.908,Profit,Low,49.08
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,29.6,2,0.0,14.8,Profit,Low,29.6
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,17.088,4,0.2,5.5536,Profit,Low,17.088
Standard Class,Consumer,United States,Provo,Utah,84604,West,Furniture,Tables,912.75,5,0.0,118.6575,Profit,High,912.75
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Appliances,1089.75,3,0.0,305.13,Profit,High,1089.75
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Paper,447.84,8,0.0,219.4416,Profit,Low,447.84
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Art,16.4,5,0.0,4.264,Profit,Low,16.4
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Technology,Phones,399.96,5,0.2,34.9965,Profit,Low,399.96
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Storage,158.9,5,0.0,7.945,Profit,Low,158.9
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Binders,13.184,1,0.2,4.7792,Profit,Low,13.184
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,83.952,3,0.6,-90.2484,Loss,Low,83.952
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,80.98,1,0.0,1.6196,Profit,Low,80.98
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,348.84,9,0.0,170.9316,Profit,Low,348.84
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,9.45,5,0.0,0.189,Profit,Low,9.45
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Furnishings,18.84,3,0.0,7.1592,Profit,Low,18.84
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Bookcases,239.98,2,0.0,52.7956,Profit,Low,239.98
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Envelopes,167.96,2,0.0,78.9412,Profit,Low,167.96
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,104.85,3,0.0,28.3095,Profit,Low,104.85
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,484.83,3,0.0,126.0558,Profit,Low,484.83
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,122.97,3,0.0,60.2553,Profit,Low,122.97
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,154.44,3,0.0,1.5444,Profit,Low,154.44
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,342.37,7,0.0,160.9139,Profit,Low,342.37
First Class,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Art,9.552,3,0.2,1.5522,Profit,Low,9.552
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,652.45,5,0.5,-430.617,Loss,High,652.45
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,66.645,3,0.5,-42.6528,Loss,Low,66.645
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,17.216,4,0.2,6.0256,Profit,Low,17.216
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,11.56,2,0.0,5.6644,Profit,Low,11.56
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,88.4,4,0.0,11.492,Profit,Low,88.4
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.48,1,0.0,3.1104,Profit,Low,6.48
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Technology,Phones,21.8,2,0.0,6.104,Profit,Low,21.8
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Office Supplies,Envelopes,251.79,3,0.0,118.3413,Profit,Low,251.79
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Furniture,Tables,205.176,2,0.4,-58.1332,Loss,Low,205.176
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,419.4,5,0.2,146.79,Profit,Low,419.4
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Supplies,10.304,1,0.2,-2.1896,Loss,Low,10.304
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,154.764,3,0.4,-36.1116,Loss,Low,154.764
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,116.784,2,0.2,21.897,Profit,Low,116.784
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,75.48,2,0.0,19.6248,Profit,Low,75.48
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,39.98,2,0.0,9.995,Profit,Low,39.98
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,393.165,3,0.5,-204.4458,Loss,Low,393.165
Standard Class,Home Office,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Labels,23.68,2,0.2,8.88,Profit,Low,23.68
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,408.006,2,0.1,72.5344,Profit,Low,408.006
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,165.28,4,0.0,14.8752,Profit,Low,165.28
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,334.768,7,0.2,108.7996,Profit,Low,334.768
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Technology,Accessories,239.97,3,0.0,26.3967,Profit,Low,239.97
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,37.74,3,0.0,12.8316,Profit,Low,37.74
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Phones,946.344,7,0.2,118.293,Profit,High,946.344
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Accessories,151.2,3,0.2,32.13,Profit,Low,151.2
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,4.928,4,0.6,-1.4784,Loss,Low,4.928
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Paper,86.272,4,0.2,31.2736,Profit,Low,86.272
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,72.588,2,0.7,-48.392,Loss,Low,72.588
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Appliances,60.672,2,0.2,14.4096,Profit,Low,60.672
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,77.031,9,0.7,-59.0571,Loss,Low,77.031
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,119.904,6,0.2,-1.4988,Loss,Low,119.904
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Technology,Phones,263.96,5,0.2,23.0965,Profit,Low,263.96
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,363.648,4,0.2,-86.3664,Loss,Low,363.648
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,9.728,2,0.2,3.2832,Profit,Low,9.728
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Envelopes,14.75,5,0.0,7.08,Profit,Low,14.75
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,29.8,5,0.2,9.3125,Profit,Low,29.8
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Labels,427.42,14,0.0,196.6132,Profit,Low,427.42
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Phones,220.752,8,0.4,-40.4712,Loss,Low,220.752
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Binders,152.76,6,0.0,74.8524,Profit,Low,152.76
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Supplies,7.27,1,0.0,1.9629,Profit,Low,7.27
Second Class,Consumer,United States,Florence,Alabama,35630,South,Furniture,Chairs,1819.86,14,0.0,163.7874,Profit,High,1819.86
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,33.9,5,0.0,15.594,Profit,Low,33.9
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Paper,31.104,6,0.2,10.8864,Profit,Low,31.104
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Art,5.248,2,0.2,0.5904,Profit,Low,5.248
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,263.88,3,0.2,42.8805,Profit,Low,263.88
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,2453.43,5,0.3,-350.49,Loss,High,2453.43
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,29.7,5,0.0,13.365,Profit,Low,29.7
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,39.96,4,0.0,17.982,Profit,Low,39.96
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,36.672,2,0.2,11.46,Profit,Low,36.672
First Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,13.76,2,0.0,6.3296,Profit,Low,13.76
Standard Class,Corporate,United States,Aurora,Colorado,80013,West,Office Supplies,Storage,139.424,4,0.2,17.428,Profit,Low,139.424
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Phones,1979.928,9,0.2,148.4946,Profit,High,1979.928
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Storage,164.736,4,0.2,-39.1248,Loss,Low,164.736
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,470.302,7,0.3,-87.3418,Loss,Low,470.302
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,47.984,2,0.2,5.998,Profit,Low,47.984
First Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,2.502,3,0.7,-1.7514,Loss,Low,2.502
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,88.752,3,0.2,11.094,Profit,Low,88.752
First Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.025,1,0.7,-1.35,Loss,Low,2.025
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Paper,70.98,7,0.0,34.7802,Profit,Low,70.98
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,91.68,3,0.0,45.84,Profit,Low,91.68
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,33.75,5,0.0,16.875,Profit,Low,33.75
First Class,Corporate,United States,Mobile,Alabama,36608,South,Technology,Machines,3040.0,8,0.0,1459.2,Profit,High,3040.0
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,91.2,3,0.0,41.952,Profit,Low,91.2
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,452.94,3,0.0,67.941,Profit,Low,452.94
Standard Class,Corporate,United States,New Bedford,Massachusetts,2740,East,Office Supplies,Binders,52.2,9,0.0,23.49,Profit,Low,52.2
Standard Class,Corporate,United States,Irving,Texas,75061,Central,Office Supplies,Labels,15.936,4,0.2,5.1792,Profit,Low,15.936
Same Day,Consumer,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,27.46,2,0.0,9.8856,Profit,Low,27.46
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,55.424,2,0.2,19.3984,Profit,Low,55.424
Standard Class,Consumer,United States,Vineland,New Jersey,8360,East,Furniture,Tables,244.006,2,0.3,-31.3722,Loss,Low,244.006
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Technology,Accessories,159.984,2,0.2,43.9956,Profit,Low,159.984
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Furniture,Chairs,1024.716,6,0.3,-29.2776,Loss,High,1024.716
First Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,3.68,2,0.0,1.8032,Profit,Low,3.68
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Furniture,Furnishings,121.376,4,0.2,-3.0344,Loss,Low,121.376
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Technology,Accessories,95.976,3,0.2,-10.7973,Loss,Low,95.976
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Accessories,255.968,4,0.2,31.996,Profit,Low,255.968
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,Chairs,872.94,3,0.0,226.9644,Profit,High,872.94
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,41.54,2,0.0,19.5238,Profit,Low,41.54
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,Profit,Low,12.96
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,6.848,2,0.2,0.5992,Profit,Low,6.848
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Labels,8.67,3,0.0,4.0749,Profit,Low,8.67
Same Day,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,6.688,4,0.6,-4.0128,Loss,Low,6.688
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Art,17.28,6,0.0,5.0112,Profit,Low,17.28
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Binders,17.712,3,0.2,6.4206,Profit,Low,17.712
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Labels,28.91,7,0.0,13.2986,Profit,Low,28.91
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Supplies,52.136,7,0.2,5.8653,Profit,Low,52.136
First Class,Consumer,United States,Westminster,California,92683,West,Technology,Phones,31.968,4,0.2,2.3976,Profit,Low,31.968
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.92,4,0.0,12.4416,Profit,Low,25.92
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,40.46,7,0.0,19.8254,Profit,Low,40.46
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,33.87,3,0.0,8.8062,Profit,Low,33.87
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Art,9.728,2,0.2,1.7024,Profit,Low,9.728
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Paper,3.424,1,0.2,1.07,Profit,Low,3.424
